configuration_id,encryption_type,router_mode,channel_width,disassoc_low_ack,skip_inactivity_poll,hidden_ssid
1,none,N,20,1,0,1
2,none,N,40,1,0,1
3,none,AC,20,1,0,1
4,none,AC,40,1,0,1
5,none,AC,80,1,0,1
6,psk+tkip,N,20,1,0,1
7,psk+tkip,N,40,1,0,1
8,psk+tkip,AC,20,1,0,1
9,psk+tkip,AC,40,1,0,1
10,psk+tkip,AC,80,1,0,1
11,psk+aes,N,20,1,0,1
12,psk+aes,N,40,1,0,1
13,psk+aes,AC,20,1,0,1
14,psk+aes,AC,40,1,0,1
15,psk+aes,AC,80,1,0,1
16,psk+tkip+ccmp,N,20,1,0,1
17,psk+tkip+ccmp,N,40,1,0,1
18,psk+tkip+ccmp,AC,20,1,0,1
19,psk+tkip+ccmp,AC,40,1,0,1
20,psk+tkip+ccmp,AC,80,1,0,1
21,psk2+tkip,N,20,1,0,1
22,psk2+tkip,N,40,1,0,1
23,psk2+tkip,AC,20,1,0,1
24,psk2+tkip,AC,40,1,0,1
25,psk2+tkip,AC,80,1,0,1
26,psk2+aes,N,20,1,0,1
27,psk2+aes,N,40,1,0,1
28,psk2+aes,AC,20,1,0,1
29,psk2+aes,AC,40,1,0,1
30,psk2+aes,AC,80,1,0,1
31,psk2+tkip+ccmp,N,20,1,0,1
32,psk2+tkip+ccmp,N,40,1,0,1
33,psk2+tkip+ccmp,AC,20,1,0,1
34,psk2+tkip+ccmp,AC,40,1,0,1
35,psk2+tkip+ccmp,AC,80,1,0,1
36,psk-mixed,N,20,1,0,1
37,psk-mixed,N,40,1,0,1
38,psk-mixed,AC,20,1,0,1
39,psk-mixed,AC,40,1,0,1
40,psk-mixed,AC,80,1,0,1
41,none,N,20,0,0,1
42,none,N,40,0,0,1
43,none,AC,20,0,0,1
44,none,AC,40,0,0,1
45,none,AC,80,0,0,1
46,psk+tkip,N,20,0,0,1
47,psk+tkip,N,40,0,0,1
48,psk+tkip,AC,20,0,0,1
49,psk+tkip,AC,40,0,0,1
50,psk+tkip,AC,80,0,0,1
51,psk+aes,N,20,0,0,1
52,psk+aes,N,40,0,0,1
53,psk+aes,AC,20,0,0,1
54,psk+aes,AC,40,0,0,1
55,psk+aes,AC,80,0,0,1
56,psk+tkip+ccmp,N,20,0,0,1
57,psk+tkip+ccmp,N,40,0,0,1
