configuration_id,wpa_enabled,wpa2_enabled,tkip_enabled,ccmp_enabled,router_mode,channel_width,disassoc_low_ack,skip_inactivity_poll,hidden_ssid
1,0,0,0,0,N,20,1,0,1
2,0,0,0,0,N,40,1,0,1
3,0,0,0,0,AC,20,1,0,1
4,0,0,0,0,AC,40,1,0,1
5,0,0,0,0,AC,80,1,0,1
6,1,0,1,0,N,20,1,0,1
7,1,0,1,0,N,40,1,0,1
8,1,0,1,0,AC,20,1,0,1
9,1,0,1,0,AC,40,1,0,1
10,1,0,1,0,AC,80,1,0,1
11,1,0,0,1,N,20,1,0,1
12,1,0,0,1,N,40,1,0,1
13,1,0,0,1,AC,20,1,0,1
14,1,0,0,1,AC,40,1,0,1
15,1,0,0,1,AC,80,1,0,1
16,1,0,1,1,N,20,1,0,1
17,1,0,1,1,N,40,1,0,1
18,1,0,1,1,AC,20,1,0,1
19,1,0,1,1,AC,40,1,0,1
20,1,0,1,1,AC,80,1,0,1
21,0,1,1,0,N,20,1,0,1
22,0,1,1,0,N,40,1,0,1
23,0,1,1,0,AC,20,1,0,1
24,0,1,1,0,AC,40,1,0,1
25,0,1,1,0,AC,80,1,0,1
26,0,1,0,1,N,20,1,0,1
27,0,1,0,1,N,40,1,0,1
28,0,1,0,1,AC,20,1,0,1
29,0,1,0,1,AC,40,1,0,1
30,0,1,0,1,AC,80,1,0,1
31,0,1,1,1,N,20,1,0,1
32,0,1,1,1,N,40,1,0,1
33,0,1,1,1,AC,20,1,0,1
34,0,1,1,1,AC,40,1,0,1
35,0,1,1,1,AC,80,1,0,1
36,1,1,0,1,N,20,1,0,1
37,1,1,0,1,N,40,1,0,1
38,1,1,0,1,AC,20,1,0,1
39,1,1,0,1,AC,40,1,0,1
40,1,1,0,1,AC,80,1,0,1
41,0,0,0,0,N,20,0,0,1
42,0,0,0,0,N,40,0,0,1
43,0,0,0,0,AC,20,0,0,1
44,0,0,0,0,AC,40,0,0,1
45,0,0,0,0,AC,80,0,0,1
46,1,0,1,0,N,20,0,0,1
47,1,0,1,0,N,40,0,0,1
48,1,0,1,0,AC,20,0,0,1
49,1,0,1,0,AC,40,0,0,1
50,1,0,1,0,AC,80,0,0,1
51,1,0,0,1,N,20,0,0,1
